Order ID,Order Date,Customer ID,Customer Name,City,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit
US-2019-156867,11/13/2019,LC-16870,Lena CaciLG,Aurora,West,TEC-AC-10001552,Cameras ,Nikon,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,-26.8758
US-2019-156867,11/13/2019,LC-16870,Lena CaciLG,Aurora,West,FUR-FU-10004006,Laptops,Asus,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,-3.8385
US-2019-156867,11/13/2019,LC-16870,Lena CaciLG,Aurora,West,OFF-BI-10002794,Mobile Phones,iPhone,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,-25.8174
CA-2017-119004,11/23/2017,JM-15250,Janet MLGin,Charlotte,South,TEC-AC-10003499,Cameras ,Nikon,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,17.6016
CA-2017-119004,11/23/2017,JM-15250,Janet MLGin,Charlotte,South,TEC-PH-10002844,Cameras ,Sony,Speck Products Candyshell Flip Case,27.992,1,2.0994
CA-2017-119004,11/23/2017,JM-15250,Janet MLGin,Charlotte,South,OFF-AR-10000390,Mobile Phones,LG,Newell Chalk Holder,3.304,1,1.0738
CA-2019-129476,10/15/2019,PA-19060,Pete Armstrong,Orland Park,Central,TEC-AC-10000844,Cameras ,Nikon,Logitech Gaming G510s - Keyboard,339.96,5,67.992
CA-2017-146780,12/25/2017,CV-12805,Cynthia Voltz,New York City,East,FUR-FU-10001934,Laptops,Asus,Magnifier Swing Arm Lamp,41.96,2,10.9096
CA-2016-128867,11/3/2016,CL-12565,Clay Ludtke,Urbandale,Central,OFF-AR-10000380,Mobile Phones,LG,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,22.788
CA-2016-128867,11/3/2016,CL-12565,Clay Ludtke,Urbandale,Central,OFF-BI-10003981,Mobile Phones,iPhone,"Avery Durable Plastic 1"" iPhone",27.24,6,13.3476
CA-2018-115259,8/25/2018,RC-19960,Ryan Crowe,Columbus,East,OFF-FA-10000621,Mobile Phones,Nokia,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,14.5348
CA-2018-115259,8/25/2018,RC-19960,Ryan Crowe,Columbus,East,OFF-EN-10002600,Mobile Phones,Motorola ,"Redi-Strip #10 Motorola , 4 1/8 x 9 1/2",4.72,2,1.652
CA-2018-115259,8/25/2018,RC-19960,Ryan Crowe,Columbus,East,OFF-PA-10004965,Mobile Phones,Pixel,Xerox 1921,23.976,3,7.4925
CA-2018-115259,8/25/2018,RC-19960,Ryan Crowe,Columbus,East,OFF-EN-10002504,Mobile Phones,Motorola ,"Tyvek  Top-Opening Peel & Seel Motorola , Plain White",130.464,6,44.0316
CA-2019-110457,3/2/2019,DK-13090,Dave Kipp,Seattle,West,FUR-TA-10001768,Laptops,Lenovo,Hon Racetrack Conference Lenovo,787.53,3,165.3813
US-2019-136476,4/5/2019,GG-14650,Greg Guthrie,Bristol,South,OFF-BI-10003650,Mobile Phones,iPhone,GBC DocuBind 300 Electric Binding Machine,157.794,1,-115.7156
CA-2016-103730,6/12/2016,SC-20725,Steven CLGwright,Wilmington,East,FUR-FU-10002157,Laptops,Asus,LGistic Insta-Plaque,47.04,3,18.3456
CA-2016-103730,6/12/2016,SC-20725,Steven CLGwright,Wilmington,East,OFF-BI-10003910,Mobile Phones,iPhone,DXL Angle-View iPhone with Locking Rings by Samsill,30.84,4,13.878
CA-2016-103730,6/12/2016,SC-20725,Steven CLGwright,Wilmington,East,OFF-ST-10000777,Mobile Phones,OnePlus,"Companion Letter/Legal File, Black",226.56,6,63.4368
CA-2016-103730,6/12/2016,SC-20725,Steven CLGwright,Wilmington,East,OFF-EN-10002500,Mobile Phones,Motorola ,Globe Weis Peel & Seel First Class Motorola ,115.02,9,51.759
CA-2016-103730,6/12/2016,SC-20725,Steven CLGwright,Wilmington,East,TEC-PH-10003875,Cameras ,Sony,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,19.7316
US-2018-152030,12/26/2018,AD-10180,Alan Dominguez,Houston,Central,FUR-CH-10004063,Laptops,HP,Global Deluxe High-Back Manager's Chair,600.558,3,-8.5794
US-2018-134614,9/20/2018,PF-19165,Philip Fox,Bloomington,Central,FUR-TA-10004534,Laptops,Lenovo,Bevis 44 x 96 Conference Lenovo,617.7,6,-407.682
US-2017-107272,11/5/2017,TS-21610,Troy Staebel,Phoenix,West,OFF-BI-10003274,Mobile Phones,iPhone,"Avery Durable Slant Ring iPhone, No HTC",2.388,2,-1.8308
US-2017-107272,11/5/2017,TS-21610,Troy Staebel,Phoenix,West,OFF-ST-10002974,Mobile Phones,OnePlus,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,30.499
US-2016-125969,11/6/2016,LS-16975,Lindsay Shagiari,Los Angeles,West,FUR-CH-10001146,Laptops,HP,"Global Task Chair, Black",81.424,2,-9.1602
US-2016-125969,11/6/2016,LS-16975,Lindsay Shagiari,Los Angeles,West,FUR-FU-10003773,Laptops,Asus,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,26.2416
US-2017-164147,2/2/2017,DW-13585,Dorothy Wardle,Columbus,East,TEC-PH-10002293,Cameras ,Sony,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,-11.994
US-2017-164147,2/2/2017,DW-13585,Dorothy Wardle,Columbus,East,OFF-PA-10002377,Mobile Phones,Pixel,Xerox 1916,78.304,2,29.364
US-2017-164147,2/2/2017,DW-13585,Dorothy Wardle,Columbus,East,OFF-FA-10002780,Mobile Phones,Nokia,Staples,21.456,9,6.9732
CA-2016-145583,10/13/2016,LC-16885,Lena Creighton,Roseville,West,OFF-PA-10001804,Mobile Phones,Pixel,Xerox 195,20.04,3,9.6192
CA-2016-145583,10/13/2016,LC-16885,Lena Creighton,Roseville,West,OFF-PA-10001736,Mobile Phones,Pixel,Xerox 1880,35.44,1,16.6568
CA-2016-145583,10/13/2016,LC-16885,Lena Creighton,Roseville,West,OFF-AR-10001149,Mobile Phones,LG,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,3.456
CA-2016-145583,10/13/2016,LC-16885,Lena Creighton,Roseville,West,OFF-FA-10002988,Mobile Phones,Nokia,Ideal Clamps,4.02,2,1.9698
CA-2016-145583,10/13/2016,LC-16885,Lena Creighton,Roseville,West,OFF-BI-10004781,Mobile Phones,iPhone,GBC Wire Binding Strips,76.176,3,26.6616
CA-2016-145583,10/13/2016,LC-16885,Lena Creighton,Roseville,West,OFF-SU-10001218,Mobile Phones,Mi,Fiskars Softgrip Scissors,65.88,6,18.4464
CA-2016-145583,10/13/2016,LC-16885,Lena Creighton,Roseville,West,FUR-FU-10001706,Laptops,Asus,Longer-Life Soft White Bulbs,43.12,14,20.6976
CA-2016-110366,9/5/2016,JD-15895,Jonathan Doherty,Philadelphia,East,FUR-FU-10004848,Laptops,Asus,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,10.35
CA-2017-106180,9/18/2017,SH-19975,Sally Hughsby,San Francisco,West,OFF-AR-10000940,Mobile Phones,LG,Newell 343,8.82,3,2.3814
CA-2017-106180,9/18/2017,SH-19975,Sally Hughsby,San Francisco,West,OFF-EN-10004030,Mobile Phones,Motorola ,Convenience Packs of Business Motorola ,10.86,3,5.1042
CA-2017-106180,9/18/2017,SH-19975,Sally Hughsby,San Francisco,West,OFF-PA-10004327,Mobile Phones,Pixel,Xerox 1911,143.7,3,68.976
CA-2017-155376,12/22/2017,SG-20080,Sandra Glassco,Independence,Central,OFF-AP-10001058,Mobile Phones,Samsung,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,218.2518
CA-2019-110744,9/7/2019,HA-14920,Helen Andreada,Pasadena,West,OFF-ST-10003656,Mobile Phones,OnePlus,Safco Industrial Wire Shelving,671.93,7,20.1579
CA-2018-110072,10/22/2018,MG-17680,Maureen Gastineau,Newark,East,FUR-FU-10000521,Laptops,Asus,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,12.9096
